# RTL_ID 20111300
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
#             85 ns : Core Reset
# =====================================================================================
# Test: add.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
            3355   N   00000530   000040b9   00000532   x04_tp     00000000
            3365   N   00000532   00000001   00000534   x01_ra     0000000e
            3375   N   00000534   0000412d   00000536   ---        --------
            3385   N   00000536   00000001   00000538   x02_sp     0000000b
            3395   N   00000538   002081b3   0000053a   ---        --------
            3405   N   0000053a   00000205   0000053e   x03_gp     00000019
            3415   N   0000053e   00004289   00000540   x04_tp     00000001
            3425   N   00000540   fe5218e3   00000542   x05_t0     00000002
            3435   N   00000542   00004ee5   00000532   ---        --------
            3465   N   00000532   00000001   00000534   x01_ra     0000000e
            3475   N   00000534   0000412d   00000536   ---        --------
            3485   N   00000536   00000001   00000538   x02_sp     0000000b
            3495   N   00000538   002081b3   0000053a   ---        --------
            3505   N   0000053a   00000205   0000053e   x03_gp     00000019
            3515   N   0000053e   00004289   00000540   x04_tp     00000002
            3525   N   00000540   fe5218e3   00000542   x05_t0     00000002
            3535   N   00000542   00004ee5   00000546   ---        --------
            3545   N   00000546   00004e6d   00000548   x29_t4     00000019
            3555   N   00000548   11d19e63   0000054a   x28_t3     0000001b
            3565   N   0000054a   00004201   0000054e   ---        --------
            3575   N   0000054e   000040bd   00000550   x04_tp     00000000
            3585   N   00000550   00000001   00000552   x01_ra     0000000f
            3595   N   00000552   00000001   00000554   ---        --------
            3605   N   00000554   0000412d   00000556   ---        --------
            3615   N   00000556   002081b3   00000558   x02_sp     0000000b
            3625   N   00000558   00000205   0000055c   x03_gp     0000001a
            3635   N   0000055c   00004289   0000055e   x04_tp     00000001
            3645   N   0000055e   fe5218e3   00000560   x05_t0     00000002
            3655   N   00000560   00004ee9   00000550   ---        --------
            3685   N   00000550   00000001   00000552   x01_ra     0000000f
            3695   N   00000552   00000001   00000554   ---        --------
            3705   N   00000554   0000412d   00000556   ---        --------
            3715   N   00000556   002081b3   00000558   x02_sp     0000000b
            3725   N   00000558   00000205   0000055c   x03_gp     0000001a
            3735   N   0000055c   00004289   0000055e   x04_tp     00000002
            3745   N   0000055e   fe5218e3   00000560   x05_t0     00000002
            3755   N   00000560   00004ee9   00000564   ---        --------
            3765   N   00000564   00004e71   00000566   x29_t4     0000001a
            3775   N   00000566   0fd19f63   00000568   x28_t3     0000001c
            3785   N   00000568   00004201   0000056c   ---        --------
            3795   N   0000056c   0000412d   0000056e   x04_tp     00000000
            3805   N   0000056e   000040b5   00000570   x02_sp     0000000b
            3815   N   00000570   002081b3   00000572   x01_ra     0000000d
            3825   N   00000572   00000205   00000576   x03_gp     00000018
            3835   N   00000576   00004289   00000578   x04_tp     00000001
            3845   N   00000578   fe521ae3   0000057a   x05_t0     00000002
            3855   N   0000057a   00004ee1   0000056e   ---        --------
            3885   N   0000056e   000040b5   00000570   x02_sp     0000000b
            3895   N   00000570   002081b3   00000572   x01_ra     0000000d
            3905   N   00000572   00000205   00000576   x03_gp     00000018
            3915   N   00000576   00004289   00000578   x04_tp     00000002
            3925   N   00000578   fe521ae3   0000057a   x05_t0     00000002
            3935   N   0000057a   00004ee1   0000057e   ---        --------
            3945   N   0000057e   00004e75   00000580   x29_t4     00000018
            3955   N   00000580   0fd19263   00000582   x28_t3     0000001d
            3965   N   00000582   00004201   00000586   ---        --------
            3975   N   00000586   0000412d   00000588   x04_tp     00000000
            3985   N   00000588   000040b9   0000058a   x02_sp     0000000b
            3995   N   0000058a   00000001   0000058c   x01_ra     0000000e
            4005   N   0000058c   002081b3   0000058e   ---        --------
            4015   N   0000058e   00000205   00000592   x03_gp     00000019
            4025   N   00000592   00004289   00000594   x04_tp     00000001
            4035   N   00000594   fe5219e3   00000596   x05_t0     00000002
            4045   N   00000596   00004ee5   00000588   ---        --------
            4075   N   00000588   000040b9   0000058a   x02_sp     0000000b
            4085   N   0000058a   00000001   0000058c   x01_ra     0000000e
            4095   N   0000058c   002081b3   0000058e   ---        --------
            4105   N   0000058e   00000205   00000592   x03_gp     00000019
            4115   N   00000592   00004289   00000594   x04_tp     00000002
            4125   N   00000594   fe5219e3   00000596   x05_t0     00000002
            4135   N   00000596   00004ee5   0000059a   ---        --------
